2026-04-04 05:22:00,563 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:22:00,565 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:22:00,566 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:22:20,571 | INFO | main | Requesting patient data for SUBJECT_ID: 10006
2026-04-04 05:22:24,859 | INFO | main | Requesting patient data for SUBJECT_ID: 10006
2026-04-04 05:22:46,054 | INFO | main | Requesting patient data for SUBJECT_ID: 10011
2026-04-04 05:22:50,049 | INFO | main | Requesting patient data for SUBJECT_ID: 10011
2026-04-04 05:23:14,504 | INFO | main | Requesting patient data for SUBJECT_ID: 10042
2026-04-04 05:23:18,345 | INFO | main | Requesting patient data for SUBJECT_ID: 10042
2026-04-04 05:23:47,067 | INFO | main | Requesting patient data for SUBJECT_ID: 10042
2026-04-04 05:23:50,489 | INFO | main | Requesting patient data for SUBJECT_ID: 10042
2026-04-04 05:24:29,356 | INFO | main | Requesting patient data for SUBJECT_ID: 10006
2026-04-04 05:24:33,963 | INFO | main | Requesting patient data for SUBJECT_ID: 10006
2026-04-04 05:28:05,522 | INFO | main | Requesting patient data for SUBJECT_ID: 10006
2026-04-04 05:28:10,505 | INFO | main | Requesting patient data for SUBJECT_ID: 10006
2026-04-04 05:28:15,458 | INFO | main | Requesting patient data for SUBJECT_ID: 10006
2026-04-04 05:28:20,263 | INFO | main | Requesting patient data for SUBJECT_ID: 10006
2026-04-04 05:28:22,318 | INFO | main | Requesting patient data for SUBJECT_ID: 10006
2026-04-04 05:28:22,726 | INFO | main | Requesting patient data for SUBJECT_ID: 10006
2026-04-04 05:28:50,409 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:29:12,081 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:29:12,082 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:29:12,347 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:29:12,460 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:29:12,461 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:29:12,461 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:39:05,318 | INFO | main | Requesting patient data for SUBJECT_ID: 10011
2026-04-04 05:39:10,133 | INFO | main | Requesting patient data for SUBJECT_ID: 10011
2026-04-04 05:39:47,090 | INFO | main | Requesting patient data for SUBJECT_ID: 10006
2026-04-04 05:39:51,897 | INFO | main | Requesting patient data for SUBJECT_ID: 10006
2026-04-04 05:44:46,391 | INFO | main | Requesting patient data for SUBJECT_ID: 10011
2026-04-04 05:44:50,093 | INFO | main | Requesting patient data for SUBJECT_ID: 10011
2026-04-04 05:44:56,199 | INFO | main | Requesting patient data for SUBJECT_ID: 10011
2026-04-04 05:44:59,988 | INFO | main | Requesting patient data for SUBJECT_ID: 10011
2026-04-04 05:47:04,450 | INFO | main | Requesting patient data for SUBJECT_ID: 10011
2026-04-04 05:47:07,979 | INFO | main | Requesting patient data for SUBJECT_ID: 10011
2026-04-04 05:48:12,447 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:48:12,518 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:48:23,358 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:48:23,358 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:48:23,648 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:48:23,648 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:48:23,707 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:48:23,831 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:48:23,832 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:48:23,833 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:48:23,878 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:48:23,951 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:48:23,953 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:48:23,953 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:50:01,126 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:50:07,787 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:50:07,787 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:50:07,909 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:50:07,946 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:50:07,948 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:50:07,949 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:51:54,084 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:51:54,147 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:51:59,926 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:51:59,927 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:52:00,006 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:52:00,006 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:52:00,109 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:52:00,174 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:52:00,179 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:52:00,181 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:52:00,181 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:52:00,233 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:52:00,235 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:52:00,235 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:59:41,313 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 06:06:14,847 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 06:06:14,848 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 06:06:15,019 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 06:06:15,082 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 06:06:15,083 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 06:06:15,083 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 06:12:20,338 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 06:12:20,338 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 06:12:20,531 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 06:12:20,642 | INFO | app.rag | ChromaDB contains 8 guideline chunks
